Designator,Mid X,Mid Y,Layer,Rotation
,164.08mm,-69.96mm,Top,180
,168.6mm,-81.36mm,Top,0
,164.07mm,-69.905mm,Top,180
,139.23mm,-100.53mm,Top,90
,158.34mm,-100.52mm,Top,90
,177.42mm,-100.52mm,Top,90
,196.57mm,-100.52mm,Top,90
,139.33mm,-119.58mm,Top,90
,158.37mm,-119.58mm,Top,90
,177.39mm,-119.58mm,Top,90
,196.53mm,-119.58mm,Top,90
,139.28mm,-138.62mm,Top,90
,177.41mm,-138.62mm,Top,90
,196.42mm,-138.62mm,Top,90
,139.24mm,-157.67mm,Top,90
,196.41mm,-157.67mm,Top,90
,177.37mm,-157.67mm,Top,90
,158.28mm,-157.67mm,Top,90
,158.28mm,-157.69mm,Top,90
,177.38mm,-157.68mm,Top,90
,196.39mm,-157.68mm,Top,90
,158.37mm,-138.62mm,Top,90
BOOT,144.490025mm,-86.800876mm,Top,180
C1,174.63mm,-71.66mm,Top,90
C2,174.6mm,-75.8mm,Top,90
C3,156.487mm,-75.48mm,Top,90
C4,159.3125mm,-88.782mm,Top,270
C5,162.64mm,-76.597mm,Top,0
C6,162.64mm,-77.74mm,Top,0
C7,157.57mm,-75.48mm,Top,90
C8,163.2585mm,-78.867mm,Top,0
C9,163.2585mm,-80.01mm,Top,0
C10,163.2585mm,-83.439mm,Top,0
C11,158.36mm,-88.5mm,Top,270
C12,153.3525mm,-83.157mm,Top,90
C13,152.87mm,-80.09mm,Top,180
C14,153.71mm,-89.33mm,Top,270
C15,154.78mm,-91.4mm,Top,90
C16,153.97mm,-72.97mm,Top,0
C17,168.42mm,-82.84mm,Top,90
C18,152.86mm,-79.01mm,Top,180
D1,136.9695mm,-100.7745mm,Top,90
D2,136.9695mm,-119.8245mm,Top,90
D3,136.9695mm,-138.8745mm,Top,90
D4,136.9695mm,-157.9245mm,Top,90
D5,156.0195mm,-100.7745mm,Top,90
D6,156.0195mm,-119.8245mm,Top,90
D7,156.0195mm,-138.8745mm,Top,90
D8,156.0195mm,-157.9245mm,Top,90
D9,175.0695mm,-100.7745mm,Top,90
D10,175.0695mm,-119.8245mm,Top,90
D11,175.0695mm,-138.8745mm,Top,90
D12,175.0695mm,-157.9245mm,Top,90
D13,194.1195mm,-100.7745mm,Top,90
D14,194.1195mm,-119.8245mm,Top,90
D15,194.1195mm,-138.8745mm,Top,90
D16,194.1195mm,-157.9245mm,Top,90
D17,168.2825mm,-79.19mm,Top,0
D18,163.65mm,-72.19mm,Top,180
F1,168.21mm,-72.13mm,Top,0
FB1,172.3mm,-72.15mm,Top,0
J1,137.82mm,-74.38mm,Top,0
R1,141.19mm,-82.74mm,Top,90
R2,159.86mm,-76.36mm,Top,90
R3,158.7775mm,-76.35mm,Top,90
R4,167.23mm,-82.83mm,Top,270
R5,144.08mm,-71.21mm,Top,0
R6,155.94mm,-90.41mm,Top,90
R7,171.0725mm,-79.2mm,Top,0
R8,154.01mm,-71.27mm,Top,0
R9,159.48mm,-71.26mm,Top,90
RST,171mm,-86.8mm,Top,0
SW1,129.54mm,-99.06mm,Top,0
SW2,129.54mm,-118.11mm,Top,0
SW3,129.54mm,-137.16mm,Top,0
SW4,129.54mm,-156.21mm,Top,0
SW6,148.59mm,-99.06mm,Top,0
SW7,148.59mm,-118.11mm,Top,0
SW8,148.59mm,-137.16mm,Top,0
SW9,148.59mm,-156.21mm,Top,0
SW10,167.64mm,-99.06mm,Top,0
SW11,167.64mm,-118.11mm,Top,0
SW12,167.64mm,-137.16mm,Top,0
SW13,167.64mm,-156.21mm,Top,0
SW15,186.69mm,-99.06mm,Top,0
SW16,186.69mm,-118.11mm,Top,0
SW17,186.69mm,-137.16mm,Top,0
SW18,186.69mm,-156.21mm,Top,0
U1,158.115mm,-82.677mm,Top,0
U2,172.29mm,-75.3375mm,Top,90
U3,148.19mm,-74.85mm,Top,0
U6,158.115mm,-65.151mm,Top,180
Y1,151.46mm,-89.81mm,Top,90
U7,-132.00845mm,-72.558908mm,Bottom,180
U8,-189.08845mm,-72.568908mm,Bottom,180
