Ref,Val,Package,PosX,PosY,Rot,Side
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,164.08,-69.96,180,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,168.6,-81.36,0,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,164.07,-69.905,180,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,139.23,-100.53,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,158.34,-100.52,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,177.42,-100.52,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,196.57,-100.52,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,139.33,-119.58,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,158.37,-119.58,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,177.39,-119.58,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,196.53,-119.58,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,139.28,-138.62,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,177.41,-138.62,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,196.42,-138.62,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,139.24,-157.67,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,196.41,-157.67,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,177.37,-157.67,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,158.28,-157.67,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,158.28,-157.69,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,177.38,-157.68,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,196.39,-157.68,90,top
,,4ccbdd0f-ed78-49ba-9130-90dc5cbf82b9,158.37,-138.62,90,top
BOOT,BOOT,tactile-switch,144.490025,-86.800876,180,top
C1,10u,C_0402_1005Metric,174.63,-71.66,90,top
C2,10u,C_0402_1005Metric,174.6,-75.8,90,top
C3,100n,C_0402_1005Metric,156.487,-75.48,90,top
C4,100n,C_0402_1005Metric,159.3125,-88.782,-90,top
C5,1u,C_0402_1005Metric,162.64,-76.597,0,top
C6,1u,C_0402_1005Metric,162.64,-77.74,0,top
C7,100n,C_0402_1005Metric,157.57,-75.48,90,top
C8,100n,C_0402_1005Metric,163.2585,-78.867,0,top
C9,100n,C_0402_1005Metric,163.2585,-80.01,0,top
C10,100n,C_0402_1005Metric,163.2585,-83.439,0,top
C11,100n,C_0402_1005Metric,158.36,-88.5,-90,top
C12,100n,C_0402_1005Metric,153.3525,-83.157,90,top
C13,100n,C_0402_1005Metric,152.87,-80.09,180,top
C14,27p,C_0402_1005Metric,153.71,-89.33,-90,top
C15,27p,C_0402_1005Metric,154.78,-91.4,90,top
C16,100n,C_0402_1005Metric,153.97,-72.97,0,top
C17,100n,C_0402_1005Metric,168.42,-82.84,90,top
C18,100n,C_0402_1005Metric,152.86,-79.01,180,top
D1,D,D_SOD-123,136.9695,-100.7745,90,top
D2,D,D_SOD-123,136.9695,-119.8245,90,top
D3,D,D_SOD-123,136.9695,-138.8745,90,top
D4,D,D_SOD-123,136.9695,-157.9245,90,top
D5,D,D_SOD-123,156.0195,-100.7745,90,top
D6,D,D_SOD-123,156.0195,-119.8245,90,top
